               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.018315,             0.01339,           0.0014435,             0.99747,             0.99445,             0.99499,             0.77959,            0.017555,            0.011116,          0.00085473,           0.0093416,           0.0093416,           0.0093416
                 135,            0.017743,            0.013475,           0.0013224,             0.99864,             0.99282,             0.99498,             0.77446,            0.017991,            0.011337,          0.00083258,           0.0093367,           0.0093367,           0.0093367
                 136,            0.017344,            0.013798,           0.0012184,             0.99665,             0.99761,             0.99499,             0.78092,            0.017524,            0.011202,          0.00090159,           0.0093317,           0.0093317,           0.0093317
                 137,            0.018194,             0.01434,           0.0013559,             0.99738,             0.99667,             0.99499,             0.79511,            0.016828,            0.011039,          0.00081143,           0.0093268,           0.0093268,           0.0093268
                 138,            0.016768,            0.013501,           0.0016042,              0.9982,             0.99527,             0.99498,             0.77946,            0.017429,            0.011178,          0.00098397,           0.0093219,           0.0093219,           0.0093219
                 139,            0.017076,            0.013662,           0.0014471,             0.99752,             0.99529,             0.99489,             0.77455,            0.017909,            0.011115,          0.00086875,           0.0093169,           0.0093169,           0.0093169
                 140,            0.017335,            0.013564,           0.0013304,              0.9977,             0.99309,             0.99497,             0.78905,            0.017097,            0.011009,           0.0008599,           0.0093119,           0.0093119,           0.0093119
                 141,            0.017677,            0.013687,           0.0016054,             0.99868,             0.99623,             0.99498,             0.79158,            0.017136,            0.011104,           0.0008701,            0.009307,            0.009307,            0.009307
                 142,            0.016937,            0.013929,           0.0014318,             0.99843,             0.99667,             0.99484,             0.79108,            0.017196,             0.01125,          0.00083922,            0.009302,            0.009302,            0.009302
                 143,            0.017355,            0.013553,           0.0014406,             0.99693,             0.99668,              0.9948,             0.77673,            0.017432,            0.011051,          0.00091219,           0.0092971,           0.0092971,           0.0092971
                 144,            0.017878,             0.01386,           0.0012787,             0.99826,             0.99667,             0.99498,             0.79243,            0.017046,            0.011003,          0.00080552,           0.0092922,           0.0092922,           0.0092922
                 145,            0.017257,            0.013528,           0.0014688,             0.99796,             0.99446,             0.99497,             0.78445,            0.017072,            0.011208,          0.00090458,           0.0092872,           0.0092872,           0.0092872
                 146,             0.01696,            0.013764,           0.0014927,             0.99876,             0.99426,             0.99492,             0.78961,            0.017147,            0.011125,          0.00087114,           0.0092823,           0.0092823,           0.0092823
                 147,            0.016745,            0.013469,           0.0014386,             0.99471,             0.99641,             0.99497,             0.78131,            0.017461,            0.011143,          0.00091917,           0.0092773,           0.0092773,           0.0092773
                 148,            0.017668,            0.013746,           0.0014914,             0.99505,             0.99557,             0.99492,             0.77344,            0.017717,            0.011172,           0.0008972,           0.0092724,           0.0092724,           0.0092724
                 149,            0.016903,            0.013438,           0.0012999,             0.99888,             0.99495,             0.99499,             0.77746,            0.017456,             0.01131,          0.00085095,           0.0092674,           0.0092674,           0.0092674
